,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-31,5200,50,5215,5250,5200,1433
1842,2017-02-01,5320,120,5250,5330,5250,384
1841,2017-02-02,5265,55,5265,5265,5250,2255
1840,2017-02-03,5230,35,5165,5260,5165,894
1839,2017-02-06,5200,30,5200,5200,5180,465
1835,2017-02-07,5230,30,5230,5265,5230,432
1834,2017-02-08,5190,40,5325,5325,5185,600
1833,2017-02-09,5265,75,5265,5290,5265,360
1832,2017-02-10,5220,45,5235,5235,5220,284
1831,2017-02-13,5400,180,5395,5400,5395,2418
1828,2017-02-14,5365,35,5365,5395,5365,770
1827,2017-02-15,5370,5,5370,5370,5370,125
1826,2017-02-16,5450,80,5440,5475,5440,1282
1825,2017-02-17,5395,55,5390,5395,5390,3748
1824,2017-02-20,5365,30,5370,5370,5365,879
1820,2017-02-21,5370,5,5375,5375,5330,2676
1819,2017-02-22,5470,100,5495,5495,5460,2257
1818,2017-02-23,5395,75,5400,5400,5390,2301
1817,2017-02-24,5275,120,5275,5275,5250,3094
1816,2017-02-27,5350,75,5380,5380,5340,189
1813,2017-02-28,5340,10,5360,5370,5340,1926
1812,2017-03-02,5435,95,5435,5435,5435,1422
1811,2017-03-03,5380,55,5380,5380,5345,1466
1810,2017-03-06,5375,5,5375,5375,5335,587
1809,2017-03-07,5305,70,5305,5305,5280,1792
1805,2017-03-08,5250,55,5250,5250,5235,398
1804,2017-03-09,5250,0,5250,5250,5250,537
1803,2017-03-10,5185,65,5400,5400,5165,1707
1802,2017-03-13,5180,5,5180,5180,5175,175
1801,2017-03-14,5225,45,5225,5255,5225,322
1798,2017-03-15,5205,20,5330,5335,5205,416
1797,2017-03-16,5280,75,5255,5280,5255,1616
1796,2017-03-17,5295,15,5295,5325,5295,2456
1795,2017-03-20,5295,0,5300,5300,5290,44
1794,2017-03-21,5250,45,5300,5300,5250,226
1790,2017-03-22,5280,30,5245,5280,5245,1393
1789,2017-03-23,5275,5,5290,5290,5275,1009260
1788,2017-03-24,5270,5,5275,5275,5270,120
1787,2017-03-27,5265,5,5270,5270,5265,1805
1786,2017-03-28,5225,40,5250,5250,5225,159
1783,2017-03-29,5295,70,5225,5380,5225,5653
1782,2017-03-30,5350,55,5295,5375,5295,396
1781,2017-03-31,5375,25,5375,5400,5375,1658
1780,2017-04-03,5340,35,5340,5340,5320,860
1779,2017-04-04,5305,35,5305,5305,5300,235
1775,2017-04-05,5295,10,5300,5300,5295,32
1774,2017-04-06,5355,60,5355,5355,5355,160
1773,2017-04-07,5325,30,5330,5330,5325,474
1772,2017-04-10,5315,10,5285,5315,5285,555
1771,2017-04-11,5250,65,5250,5250,5225,1369
1768,2017-04-12,5235,15,5250,5255,5225,118
1767,2017-04-13,5160,75,5160,5160,5150,11199
1766,2017-04-14,5140,20,5325,5325,5140,235
1765,2017-04-17,5165,25,5140,5195,5140,1153
1764,2017-04-18,5190,25,5165,5200,5165,5122
1760,2017-04-19,5095,95,5185,5185,5075,1782
1759,2017-04-20,5095,0,5095,5095,5090,390
1758,2017-04-21,5160,65,5055,5205,5055,5188
1757,2017-04-24,5100,60,5165,5165,5100,71
1756,2017-04-25,5170,70,5190,5190,5170,615
1753,2017-04-26,5220,50,5210,5220,5210,734
1752,2017-04-27,5210,10,5210,5225,5210,273
1751,2017-04-28,5185,25,5175,5185,5175,364
1750,2017-05-02,5170,15,5100,5210,5100,948
1749,2017-05-04,5130,40,5100,5130,5095,339
1745,2017-05-08,5115,15,5115,5115,5080,947
1744,2017-05-10,5030,85,5030,5030,5005,1562
1743,2017-05-11,5025,5,5015,5025,5000,699
1742,2017-05-12,5045,20,5050,5050,5040,677
1741,2017-05-15,5060,15,5165,5165,5060,302
1738,2017-05-16,5090,30,5155,5155,5010,30
1737,2017-05-17,5095,5,5170,5170,5095,205
1736,2017-05-18,5120,25,5105,5130,5105,222
1735,2017-05-19,5090,30,5095,5095,5080,358
1734,2017-05-22,5180,90,5100,5180,5100,1188
1730,2017-05-23,5185,5,5175,5185,5165,1212
1729,2017-05-24,5175,10,5180,5180,5175,3398
1728,2017-05-25,5140,35,5175,5175,5140,283
1727,2017-05-26,5220,80,5190,5220,5190,466
1726,2017-05-29,5195,25,5225,5225,5185,995
1723,2017-05-30,5185,10,5170,5185,5150,739
1722,2017-05-31,5135,50,5150,5150,5135,125
1721,2017-06-01,5125,10,5130,5135,5125,3995
1720,2017-06-02,5120,5,5120,5150,5120,926
1719,2017-06-05,5140,20,5140,5140,5120,86
1715,2017-06-07,5080,60,5080,5080,5075,1832
1714,2017-06-08,5080,0,5195,5195,5060,706
1713,2017-06-09,5140,60,5110,5140,5110,84
1712,2017-06-12,5160,20,5140,5175,5140,161
1711,2017-06-13,5135,25,5135,5135,5105,357
1708,2017-06-14,5110,25,5105,5115,5105,25
1707,2017-06-15,5080,30,5105,5105,5075,2027
1706,2017-06-16,5080,0,5080,5080,5080,215
1705,2017-06-19,5200,120,5200,5200,5200,1
1704,2017-06-20,5095,105,5190,5190,5090,803
1700,2017-06-21,5020,75,5095,5095,5010,372
1699,2017-06-22,5170,150,5020,5170,5000,1430
1698,2017-06-23,5010,160,5170,5170,5000,780
1697,2017-06-26,5135,125,5160,5160,5110,815
1696,2017-06-27,5100,35,5105,5105,5100,750
1693,2017-06-28,5165,65,5160,5170,5155,5850
1692,2017-06-29,5180,15,5180,5190,5180,462
1691,2017-06-30,5235,55,5235,5240,5235,1070
1690,2017-07-03,5245,10,5290,5290,5245,4026
1689,2017-07-04,5245,0,5245,5245,5245,504
1685,2017-07-05,5240,5,5240,5245,5240,34
1684,2017-07-06,5200,40,5170,5200,5170,2119
1683,2017-07-07,5215,15,5240,5240,5215,1722
1682,2017-07-10,5185,30,5175,5185,5175,66
1681,2017-07-11,5175,10,5175,5175,5150,116
1678,2017-07-12,5175,0,5175,5175,5175,71
1677,2017-07-13,5175,0,5175,5175,5175,5
1676,2017-07-14,5200,25,5200,5230,5200,487
1675,2017-07-17,5265,65,5295,5295,5250,745
1674,2017-07-18,5270,5,5270,5270,5260,45
1670,2017-07-19,5280,10,5120,5290,5120,2531
1669,2017-07-20,5270,10,5270,5270,5270,229
1668,2017-07-21,5235,35,5260,5260,5235,443
1667,2017-07-24,5255,20,5255,5260,5255,173
1666,2017-07-25,5270,15,5270,5280,5270,1263
1663,2017-07-26,5390,120,5300,5400,5300,975
1662,2017-07-27,5450,60,5450,5480,5450,1351
1661,2017-07-28,5450,0,5450,5450,5440,77
1660,2017-07-31,5415,35,5425,5425,5405,144
1659,2017-08-01,5445,30,5440,5450,5440,51
1655,2017-08-02,5440,5,5440,5440,5415,26
1654,2017-08-03,5440,0,5440,5470,5440,366
1653,2017-08-04,5440,0,5430,5440,5430,20
1652,2017-08-07,5440,0,5450,5460,5440,225
1651,2017-08-08,5535,95,5515,5545,5515,551
1648,2017-08-09,5630,95,5550,5655,5550,1302
1647,2017-08-10,5620,10,5645,5645,5615,1152
