Date,Close,Open,High,Low,Change
1981-04-14,676.7,676.7,676.7,676.7,0.0019
1981-04-15,676.7,676.7,676.7,676.7,0.0
1981-04-16,676.7,676.7,676.7,676.7,0.0
1981-04-17,676.75,676.75,676.75,676.75,0.0001
1981-04-20,676.7,676.7,676.7,676.7,-0.0001
1981-04-21,676.7,676.7,676.7,676.7,0.0
1981-04-22,676.7,676.7,676.7,676.7,0.0
1981-04-23,676.7,676.7,676.7,676.7,0.0
1981-04-24,678.1,678.1,678.1,678.1,0.0021
1981-04-27,678.1,678.1,678.1,678.1,0.0
1981-04-28,678.1,678.1,678.1,678.1,0.0
1981-04-29,678.1,678.1,678.1,678.1,0.0
1981-04-30,678.9,678.9,678.9,678.9,0.0012
1981-05-01,679.6,679.6,679.6,679.6,0.001
1981-05-04,679.6,679.6,679.6,679.6,0.0
1981-05-05,679.6,679.6,679.6,679.6,0.0
1981-05-06,680.1,680.1,680.1,680.1,0.0007000000000000001
1981-05-07,680.1,680.1,680.1,680.1,0.0
1981-05-08,680.4,680.4,680.4,680.4,0.0004
1981-05-11,680.4,680.4,680.4,680.4,0.0
1981-05-12,680.8,680.8,680.8,680.8,0.0006
1981-05-13,680.8,680.8,680.8,680.8,0.0
1981-05-14,682.1,682.1,682.1,682.1,0.0019
1981-05-15,682.8,682.8,682.8,682.8,0.001
1981-05-18,682.9,682.9,682.9,682.9,0.0001
1981-05-19,682.9,682.9,682.9,682.9,0.0
1981-05-20,683.1,683.1,683.1,683.1,0.0003
1981-05-21,683.1,683.1,683.1,683.1,0.0
1981-05-22,683.1,683.1,683.1,683.1,0.0
1981-05-26,683.8,683.8,683.8,683.8,0.001
1981-05-27,684.1,684.1,684.1,684.1,0.0004
1981-05-28,684.4,684.4,684.4,684.4,0.0004
1981-05-29,684.4,684.4,684.4,684.4,0.0
1981-06-01,684.4,684.4,684.4,684.4,0.0
1981-06-02,684.4,684.4,684.4,684.4,0.0
1981-06-03,684.4,684.4,684.4,684.4,0.0
1981-06-04,684.4,684.4,684.4,684.4,0.0
1981-06-05,684.6,684.6,684.6,684.6,0.0003
1981-06-08,684.6,684.6,684.6,684.6,0.0
1981-06-09,684.6,684.6,684.6,684.6,0.0
1981-06-10,684.6,684.6,684.6,684.6,0.0
1981-06-11,684.6,684.6,684.6,684.6,0.0
1981-06-12,684.6,684.6,684.6,684.6,0.0
1981-06-15,684.6,684.6,684.6,684.6,0.0
1981-06-16,684.6,684.6,684.6,684.6,0.0
1981-06-17,684.6,684.6,684.6,684.6,0.0
1981-06-18,684.6,684.6,684.6,684.6,0.0
1981-06-19,684.6,684.6,684.6,684.6,0.0
1981-06-22,684.6,684.6,684.6,684.6,0.0
1981-06-23,684.6,684.6,684.6,684.6,0.0
1981-06-24,684.6,684.6,684.6,684.6,0.0
1981-06-25,684.6,684.6,684.6,684.6,0.0
1981-06-26,683.2,683.2,683.2,683.2,-0.002
1981-06-29,683.2,683.2,683.2,683.2,0.0
1981-06-30,683.2,683.2,683.2,683.2,0.0
1981-07-01,683.2,683.2,683.2,683.2,0.0
1981-07-02,685.8,685.8,685.8,685.8,0.0038
1981-07-03,686.1,686.1,686.1,686.1,0.0004
1981-07-06,686.1,686.1,686.1,686.1,0.0
1981-07-07,686.7,686.7,686.7,686.7,0.0009
1981-07-08,686.7,686.7,686.7,686.7,0.0
1981-07-09,686.7,686.7,686.7,686.7,0.0
1981-07-10,686.7,686.7,686.7,686.7,0.0
1981-07-13,686.7,686.7,686.7,686.7,0.0
1981-07-14,686.7,686.7,686.7,686.7,0.0
1981-07-15,686.7,686.7,686.7,686.7,0.0
1981-07-16,686.7,686.7,686.7,686.7,0.0
1981-07-17,686.7,686.7,686.7,686.7,0.0
1981-07-20,686.7,686.7,686.7,686.7,0.0
1981-07-21,686.7,686.7,686.7,686.7,0.0
1981-07-22,686.7,686.7,686.7,686.7,0.0
1981-07-23,686.7,686.7,686.7,686.7,0.0
1981-07-24,686.7,686.7,686.7,686.7,0.0
1981-07-27,686.7,686.7,686.7,686.7,0.0
1981-07-28,686.7,686.7,686.7,686.7,0.0
1981-07-29,686.7,686.7,686.7,686.7,0.0
1981-07-30,686.7,686.7,686.7,686.7,0.0
1981-07-31,686.95,686.95,686.95,686.95,0.0004
1981-08-03,687.25,687.25,687.25,687.25,0.0004
1981-08-04,687.55,687.55,687.55,687.55,0.0004
1981-08-05,687.85,687.85,687.85,687.85,0.0004
1981-08-06,687.85,687.85,687.85,687.85,0.0
1981-08-07,687.85,687.85,687.85,687.85,0.0
1981-08-10,687.85,687.85,687.85,687.85,0.0
1981-08-11,687.85,687.85,687.85,687.85,0.0
1981-08-12,687.85,687.85,687.85,687.85,0.0
1981-08-13,687.85,687.85,687.85,687.85,0.0
1981-08-14,687.85,687.85,687.85,687.85,0.0
1981-08-17,687.85,687.85,687.85,687.85,0.0
1981-08-18,687.85,687.85,687.85,687.85,0.0
1981-08-19,687.85,687.85,687.85,687.85,0.0
1981-08-20,687.85,687.85,687.85,687.85,0.0
1981-08-21,687.85,687.85,687.85,687.85,0.0
1981-08-24,687.85,687.85,687.85,687.85,0.0
1981-08-25,687.85,687.85,687.85,687.85,0.0
1981-08-26,687.85,687.85,687.85,687.85,0.0
1981-08-27,687.85,687.85,687.85,687.85,0.0
1981-08-28,687.85,687.85,687.85,687.85,0.0
1981-08-31,687.85,687.85,687.85,687.85,0.0
1981-09-01,687.85,687.85,687.85,687.85,0.0
1981-09-02,687.85,687.85,687.85,687.85,0.0
1981-09-03,687.85,687.85,687.85,687.85,0.0
1981-09-04,687.85,687.85,687.85,687.85,0.0
1981-09-08,687.85,687.85,687.85,687.85,0.0
1981-09-09,687.85,687.85,687.85,687.85,0.0
1981-09-10,687.85,687.85,687.85,687.85,0.0
1981-09-11,687.85,687.85,687.85,687.85,0.0
1981-09-14,688.1,688.1,688.1,688.1,0.0004
1981-09-15,688.1,688.1,688.1,688.1,0.0
1981-09-16,688.1,688.1,688.1,688.1,0.0
1981-09-17,688.1,688.1,688.1,688.1,0.0
1981-09-18,688.1,688.1,688.1,688.1,0.0
1981-09-21,688.1,688.1,688.1,688.1,0.0
1981-09-22,688.1,688.1,688.1,688.1,0.0
1981-09-23,688.1,688.1,688.1,688.1,0.0
1981-09-24,688.1,688.1,688.1,688.1,0.0
1981-09-25,681.25,681.25,681.25,681.25,-0.01
1981-09-28,681.25,681.25,681.25,681.25,0.0
1981-09-29,681.25,681.25,681.25,681.25,0.0
1981-09-30,681.25,681.25,681.25,681.25,0.0
1981-10-01,681.25,681.25,681.25,681.25,0.0
1981-10-02,681.25,681.25,681.25,681.25,0.0
1981-10-05,688.1,688.1,688.1,688.1,0.0101
1981-10-06,681.25,681.25,681.25,681.25,-0.01
1981-10-07,681.25,681.25,681.25,681.25,0.0
1981-10-08,681.25,681.25,681.25,681.25,0.0
1981-10-09,681.25,681.25,681.25,681.25,0.0
1981-10-13,681.25,681.25,681.25,681.25,0.0
1981-10-14,681.25,681.25,681.25,681.25,0.0
1981-10-15,681.25,681.25,681.25,681.25,0.0
1981-10-16,685.25,685.25,685.25,685.25,0.0059
1981-10-19,685.25,685.25,685.25,685.25,0.0
1981-10-20,685.25,685.25,685.25,685.25,0.0
1981-10-21,685.25,685.25,685.25,685.25,0.0
1981-10-22,685.25,685.25,685.25,685.25,0.0
1981-10-23,685.25,685.25,685.25,685.25,0.0
1981-10-26,685.25,685.25,685.25,685.25,0.0
1981-10-27,685.25,685.25,685.25,685.25,0.0
1981-10-28,685.25,685.25,685.25,685.25,0.0
1981-10-29,685.25,685.25,685.25,685.25,0.0
1981-10-30,688.25,688.25,688.25,688.25,0.0044
1981-11-02,688.25,688.25,688.25,688.25,0.0
1981-11-04,688.25,688.25,688.25,688.25,0.0
1981-11-05,688.25,688.25,688.25,688.25,0.0
1981-11-06,688.25,688.25,688.25,688.25,0.0
1981-11-09,688.25,688.25,688.25,688.25,0.0
1981-11-10,688.25,688.25,688.25,688.25,0.0
1981-11-12,688.45,688.45,688.45,688.45,0.0003
1981-11-13,688.45,688.45,688.45,688.45,0.0
1981-11-16,688.45,688.45,688.45,688.45,0.0
1981-11-17,688.45,688.45,688.45,688.45,0.0
1981-11-18,688.45,688.45,688.45,688.45,0.0
1981-11-19,688.45,688.45,688.45,688.45,0.0
1981-11-20,688.45,688.45,688.45,688.45,0.0
1981-11-23,688.45,688.45,688.45,688.45,0.0
1981-11-24,688.45,688.45,688.45,688.45,0.0
1981-11-25,688.8,688.8,688.8,688.8,0.0005
1981-11-27,689.9,689.9,689.9,689.9,0.0016
1981-11-30,689.9,689.9,689.9,689.9,0.0
1981-12-01,689.9,689.9,689.9,689.9,0.0
1981-12-02,689.9,689.9,689.9,689.9,0.0
1981-12-03,691.2,691.2,691.2,691.2,0.0019
1981-12-04,691.75,691.75,691.75,691.75,0.0008
1981-12-07,691.75,691.75,691.75,691.75,0.0
1981-12-08,691.75,691.75,691.75,691.75,0.0
1981-12-09,691.75,691.75,691.75,691.75,0.0
1981-12-10,691.75,691.75,691.75,691.75,0.0
1981-12-11,691.75,691.75,691.75,691.75,0.0
1981-12-14,695.3,695.3,695.3,695.3,0.0051
1981-12-15,695.3,695.3,695.3,695.3,0.0
1981-12-16,695.3,695.3,695.3,695.3,0.0
1981-12-17,695.3,695.3,695.3,695.3,0.0
1981-12-18,696.45,696.45,696.45,696.45,0.0017000000000000001
1981-12-21,696.45,696.45,696.45,696.45,0.0
1981-12-22,696.45,696.45,696.45,696.45,0.0
1981-12-23,696.45,696.45,696.45,696.45,0.0
1981-12-24,696.45,696.45,696.45,696.45,0.0
1981-12-28,696.45,696.45,696.45,696.45,0.0
1981-12-29,700.15,700.15,700.15,700.15,0.0053
1981-12-30,700.75,700.75,700.75,700.75,0.0009
1981-12-31,700.75,700.75,700.75,700.75,0.0
1982-01-04,701.25,701.25,701.25,701.25,0.0007000000000000001
1982-01-05,701.25,701.25,701.25,701.25,0.0
1982-01-06,701.25,701.25,701.25,701.25,0.0
1982-01-07,702.35,702.35,702.35,702.35,0.0016
1982-01-08,702.95,702.95,702.95,702.95,0.0009
1982-01-11,702.95,702.95,702.95,702.95,0.0
1982-01-12,702.95,702.95,702.95,702.95,0.0
1982-01-13,704.25,704.25,704.25,704.25,0.0018
1982-01-14,705.55,705.55,705.55,705.55,0.0018
